Gender,Age,Education level,Major,Administrative regions,Number of use Internet and Internet-related services,Internet/ Digital devices skills level,Digital devices type,Type of connectivity,Purpose of using internet,Operating system of desktop/laptop,Operating system of smartphone/tablet,Common security tools,Secure of person's digital devices,Legitimacy of a website,Password with personal information,Aware of the danger of clicking pop-up screens,Attention to person's account privacy,Protection of social media services for personal info,Read terms and conditions of website,Change the important accounts passwords frequently,Using public Wi-Fi,No value for my digital devices to hackers,Install software updates regularly,Careful about clicking on links in an email or other post,Digital devices with Internet security tool,Internet security tool up to date,Keep yourself updated about cybercrime (offline Sources),Keep yourself updated about cybercrime (Online Sources),Avoid disclosing personal information online,Risk of becoming a victim of cybercrime has increased,Online personal information is not secure enough,Well protected against cybercrime,Accept increased Internet surveillance from the government,Laws are effective in managing the cybercrime problem,Informed about the threat of cybercrime,Received phishing emails,Stealing your personal data,Malware infection of a device,Being unable to access online services because of cyber attacks,Encountering material promotes hatred or religious extremism,Online extortion,Concerned about identity theft,Not concerned about encountering child pornography online,Concerned about receiving phishing emails,Concerned about not being able to access online services because of cyber attacks,Concerned about encountering material promotes hatred or religious extremism,Concerned about encountering online extortion,Feeling about the threat of cybercrimes in the future,Responsibility of government in raising awareness of cybercrime,Responsibility of media in raising awareness of cybercrime,Responsibility of those offering online/Internet-based servicesin raising awareness of cybercrime,Responsibility of user itself in raising awareness of cybercrime,Responsibility of education system in raising awareness of cybercrime,Role of the government in combating cybercrimes,Victim of cybercrime,Report cybercrime,To who report cybercrime
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Professional reasons, Education, Online services, Entertainment, Communication",Windows 10,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN)",Somewhat secure,Always,Often,Often,Often,Often,Often,Often,Often,Often,Often,Always,Laptop,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Do not know,Do not know,Sometimes,Sometimes,Do not know,Do not know,Always,Always,Always,Always,Always,Always,The threat will vanish eventually,Agree,Agree,Agree,Agree,Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,High School,Business Administration,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Windows 10,IOS,Anti-virus,Somewhat secure,Often,Often,Often,Often,Often,Often,Often,Always,Always,Often,Often,Smartphone,"Yes, I believe it is automatically updated","Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc.",Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Do not know,Always,Sometimes,Always,Sometimes,Always,Always,Always,Always,Always,Sometimes,Always,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,Yes,"No, I would not",Saudi eGovernment Portal
Female,30-39,"Undergraduate (Diploma, BSc)",Math,Makkah,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)",Education,Windows 7,Android,"Authentication (e.g. password, PIN) ,Backup",Very secure,Often,Often,Often,Often,Often,Always,Always,Often,Often,Often,Often,Smartphone,"Yes, I believe it is automatically updated","Newspapers, magazines, Posters","Internet, website, email bulletins, blogs, etc.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Never,Never,Never,Never,Never,Never,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,They will become a more serious issue in the future,Neutral,Neutral,Neutral,Neutral,Neutral,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Saudi eGovernment Portal
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Windows 8,I don't know,"Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Always,Always,Often,Sometimes,Seldom,Often,Often,Always,Often,Often,"Laptop, Smartphone","Yes, I believe it is automatically updated",I do not feel that I keep myself updated,Rely on automatic updates,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Always,Never,Never,Always,Always,Never,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Monitor organisations misusing consumer information,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication","Windows 10, mac OS",IOS,"Firewall, Software update,Backup",Somewhat secure,Always,Never,Always,Often,Sometimes,Often,Always,Never,Seldom,Always,Sometimes,"Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Government or professional reports","Government websites (e.g. CERT),Internet service provider ISPs",Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Do not know,Sometimes,Do not know,Do not know,Do not know,Do not know,Always,Always,Always,Always,Do not know,Do not know,They will become a more serious issue in the future,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Saudi CERT
Female,18-29,"Postgraduate (Master’s, PhD)",Medicine or public health,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Windows 10,IOS,"Anti-virus, Firewall, Software update,Backup",Somewhat secure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT"
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Mobile/cellular phone network (e.g. 3G/4G), I don't know","Education, Social networks, Online services","Windows 10, Windows 7",Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Often,Seldom,Sometimes,Sometimes,Often,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Always,"Laptop, Smartphone",I don't know,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Never,Always,Always,Always,Always,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would",Don’t know but will ask my friends for advice
Female,18-29,"Postgraduate (Master’s, PhD)",Medicine or public health,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",mac OS,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Somewhat secure,Sometimes,Always,Always,Always,Often,Never,Never,Seldom,Always,Always,Always,"Laptop, Tablet","No, I think it is automatically updated",I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Always,Never,Always,Always,Always,Never,Always,Do not know,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,Yes,"No, I would not",Don’t know but will ask my friends for advice
Female,30-39,"Postgraduate (Master’s, PhD)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,Android,"Anti-virus, Authentication (e.g. password, PIN)",Very secure,Often,Often,Often,Often,Seldom,Always,Often,Never,Seldom,Often,Often,"Laptop, Smartphone","Yes, I believe it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Sometimes,Never,Always,Always,Never,They will become a more serious issue in the future,Agree,Agree,Agree,Agree,Agree,Monitor organisations misusing consumer information,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Communication",Windows 8,Android,Anti-virus,Somewhat secure,Sometimes,Always,Often,Always,Always,Always,Often,Always,Often,Often,Often,Smartphone,"Yes, I believe it is automatically updated","Newspapers, magazines, Posters","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT"
Male,18-29,High School,Natural Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,I don't know,I don't know,None,Somewhat secure,Always,Sometimes,Often,Often,Sometimes,Always,Often,Seldom,Sometimes,Often,Often,Smartphone,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,"TV, news, radio",Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,They will become a more serious issue in the future,Neutral,Neutral,Agree,Neutral,Neutral,Make people aware of cyber crime,No,"Yes, I would","Saudi CERT, Don’t know but will ask my friends for advice"
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Windows 10,"Blackberry, IOS, Android, Windows","Anti-virus, Firewall, Software update,Backup",Somewhat secure,Always,Always,Always,Always,Often,Often,Always,Often,Often,Often,Always,"Desktop, Laptop, Smartphone,Tablet","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police"
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Private Wi-Fi (e.g. in your home),Social networks,I don't know,I don't know,"Authentication (e.g. password, PIN)",Not sure (difficult to determine),Always,Always,Always,Always,Always,Always,Seldom,Always,Sometimes,Always,Always,None of the above,"Yes, I believe it is automatically updated",Government or professional reports,"TV, news, radio",Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Do not know,Do not know,Always,Always,Do not know,Do not know,Always,Do not know,Always,Always,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Saudi eGovernment Portal
Male,18-29,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Online services, Entertainment",I don't know,IOS,"Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Often,Seldom,Always,Always,Sometimes,Often,Sometimes,Never,Sometimes,Sometimes,Smartphone,I don't know,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Sometimes,Never,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would","Police, Don’t know but will ask my friends for advice"
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,"IOS, Android","Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update",Somewhat secure,Often,Seldom,Always,Always,Seldom,Sometimes,Sometimes,Never,Always,Always,Always,Laptop,"Yes, I believe it is automatically updated",Other,"TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Sometimes,Do not know,Sometimes,Sometimes,Do not know,Do not know,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not",Don’t know but will ask my friends for advice
Female,50+,"Undergraduate (Diploma, BSc)",Languages,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services",I don't know,IOS,"Software update,Backup",Somewhat secure,Often,Often,Often,Always,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Smartphone,"Yes, I believe it is automatically updated",Government or professional reports,"TV, news, radio",Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Sometimes,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don’t know,No,"Yes, I would",Don’t know but will ask my friends for advice
